family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
NiCo,41.1706,21.9878,Macedonia,Ržanovo [Cobalt|Ni-Co laterite]
NiCo,41.808,33.692,Turkey,Kure [Cobalt|Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide]
NiCo,42.0,-123.757,United States of America,Turner Albright [Cobalt; Gallium|Volcanogenic Cu(-Zn-Co-Ag-Au) massive sulfide]
NiCo,42.2236,21.2558,Kosovo,Cikatova [Cobalt|Ni-Co laterite]
NiCo,42.5436,21.0097,Kosovo,Glavica [Cobalt|Ni-Co laterite]
NiCo,43.5867,20.8403,Serbia,Rudjinci [Cobalt|Ni-Co laterite]
NiCo,45.123,-114.349,United States of America,Blackbird [Cobalt|Metasedimentary-rock-hosted Co-Cu-Au]
NiCo,45.499,-73.57,Canada,Voisey's Bay [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,46.35,-81.833,Canada,Shakespeare [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Conduit]
NiCo,46.633,-81.383,Canada,Sudbury Complex [Cobalt; Platinum-Group Elements|Magmatic Ni-Cu(-Co-PGE) sulfide; Sudbury]
NiCo,46.725,-110.895,United States of America,Sheep Creek [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,46.748,-87.895,United States of America,Eagle [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,47.396,-79.686,Canada,Cobalt-Gowganda [Cobalt|Polymetallic (Ag-Ni-Co-As-Bi)]
NiCo,47.6,-91.967,United States of America,Northmet [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
