subtype,lat,lon
Cu_porphyry,33.3781,-110.9989
Cu_porphyry,31.8928,-111.0353
Cu_porphyry,31.7681,-110.4619
Cu_porphyry,32.5800,-112.0900
Cu_porphyry,40.1950,-120.8539
Cu_porphyry,37.4069,-108.0881
Cu_porphyry,45.3564,-113.9939
Cu_porphyry,43.0931,-111.3231
Cu_porphyry,45.5361,-70.2169
Cu_porphyry,45.6000,-70.3333
Cu_porphyry,46.3417,-112.0792
Cu_porphyry,46.0172,-112.5111
Cu_porphyry,47.0258,-112.3600
Cu_porphyry,32.8067,-108.1186
Cu_porphyry,32.8464,-108.0906
Cu_porphyry,32.7903,-108.0728
Cu_porphyry,32.6331,-108.3669
Cu_porphyry,38.9600,-119.2700
Cu_porphyry,39.0300,-119.1800
Cu_porphyry,39.8000,-115.1500
Cu_porphyry,41.7669,-114.7669
Cu_porphyry,40.6119,-117.0361
Cu_porphyry,40.5469,-117.1267
Cu_porphyry,35.4833,-115.1333
Cu_porphyry,40.6875,-117.0833
Cu_porphyry,39.2600,-114.9994
Cu_porphyry,40.4167,-117.2167
Cu_porphyry,40.2667,-117.7500
Cu_porphyry,39.0500,-119.2400
Cu_porphyry,38.6167,-118.4333
Cu_porphyry,38.3333,-117.5000
Cu_porphyry,38.4919,-118.0750
Cu_porphyry,38.7800,-117.9500
Cu_porphyry,38.9800,-119.2000
Cu_porphyry,29.8050,-104.4028
Cu_porphyry,40.5292,-112.1539
Cu_porphyry,38.4806,-113.2997
Cu_porphyry,40.6250,-111.3797
Cu_porphyry,39.8581,-112.1250
Cu_porphyry,48.1978,-120.9792
Cu_porphyry,48.2158,-121.3342
Cu_porphyry,48.9950,-119.4781
Cu_porphyry,46.3564,-122.0808
Cu_porphyry,48.6147,-120.3819
Cu_porphyry,47.5000,-121.3667
Cu_porphyry,47.6775,-121.6364
Cu_porphyry,48.0086,-121.5036
Cu_porphyry,41.1450,-105.1861
Cu_porphyry,43.8825,-109.3111
Cu_porphyry,44.0289,-109.6831
Cu_porphyry,44.0300,-109.6014
Cu_porphyry,40.8139,69.6464
Cu_porphyry,40.7986,69.7061
Cu_porphyry,40.7769,69.7792
Cu_porphyry,41.0978,70.1258
Cu_porphyry,-12.6072,27.8819
Cu_sediment,33.8472,-0.3417
Cu_sediment,33.0000,-4.2500
Cu_sediment,32.8500,-0.4500
Cu_sediment,32.8333,-0.2417
Cu_sediment,32.7700,-0.6667
Cu_sediment,32.7500,-0.5833
Cu_sediment,31.5000,-2.9667
Cu_sediment,30.7833,-9.1000
Cu_sediment,30.4667,-7.5000
Cu_sediment,30.0944,-8.3500
Cu_sediment,30.0625,-8.4083
Cu_sediment,29.3833,-9.0333
Cu_sediment,29.2500,32.4667
